Ingredient_Name,Likelihood,Impact
All-Purpose Flour,0.03333333333333333,0.1325428787245787
Granulated Sugar,0.03333333333333333,0.09455119073345582
Unsalted Butter,0.0,0.25543597541489466
Large Eggs,0.03333333333333333,0.14161459239088683
Chocolate Chips,0.0,0.3411567460557179
Brown Sugar,0.0,0.04174419294623295
Vanilla Extract,0.0,0.07366484363270474
Baking Soda,0.0,0.0020551448658423146
Salt,0.03333333333333333,0.0005738645155094013
Lemons,0.06666666666666667,0.41021079605629573
Powdered Sugar,0.0,0.07756783264411841
Cocoa Powder,0.03333333333333333,0.1600596095532684
Bananas,0.03333333333333333,0.29193295801365127
Milk,0.03333333333333333,0.22547371349207487
Espresso Beans,0.0,0.6927757147809307
Black Tea Bags,0.03333333333333333,0.6823324881452261
Blueberries,0.0,0.2837466279560344
Baking Powder,0.03333333333333333,0.00854791919777791
Chicken Breast,0.06666666666666667,0.9959011770796498
Water,0.0,0.10280863119145164
Ice,0.0,0.11551545885628144
