Recipe_ID,Recipe_Name,Recipe_Cost,Margin_Pct
REC001,Chocolate Chip Cookies,7.917667,0.8680388833333333
REC002,Lemon Bars,9.293377,-0.16167212500000017
REC003,Fudge Brownies,6.690557,0.8805257678571429
REC004,Banana Bread,3.435229,0.89264909375
REC005,Sugar Cookies,3.57198,0.92558375
REC006,Latte,0.789548,0.8245448888888889
REC007,Cappuccino,0.673788,0.8414616470588235
REC008,Iced Tea,0.171955,0.9426816666666666
REC009,Blueberry Muffin,4.201526,0.9066327555555556
REC010,Chicken Tex-Mex Tray,55.36669,0.861583275
