Ingredient_ID,Ingredient_Name,Week_Number,Week_Date,Cost_Per_Unit,Note
ING001,All-Purpose Flour,1,2026-06-15,0.0022,
ING001,All-Purpose Flour,2,2026-06-22,0.002196,
ING001,All-Purpose Flour,3,2026-06-29,0.002192,
ING001,All-Purpose Flour,4,2026-07-06,0.002189,
ING001,All-Purpose Flour,5,2026-07-13,0.002213,
ING001,All-Purpose Flour,6,2026-07-20,0.00221,
ING001,All-Purpose Flour,7,2026-07-27,0.002162,
ING001,All-Purpose Flour,8,2026-08-03,0.002174,
ING001,All-Purpose Flour,9,2026-08-10,0.002166,
ING001,All-Purpose Flour,10,2026-08-17,0.00216,
ING001,All-Purpose Flour,11,2026-08-24,0.002165,
ING001,All-Purpose Flour,12,2026-08-31,0.002173,
ING002,Granulated Sugar,1,2026-06-15,0.0018,
ING002,Granulated Sugar,2,2026-06-22,0.001832,
ING002,Granulated Sugar,3,2026-06-29,0.001851,
ING002,Granulated Sugar,4,2026-07-06,0.001855,
ING002,Granulated Sugar,5,2026-07-13,0.001836,
ING002,Granulated Sugar,6,2026-07-20,0.001809,
ING002,Granulated Sugar,7,2026-07-27,0.001816,
ING002,Granulated Sugar,8,2026-08-03,0.001853,
ING002,Granulated Sugar,9,2026-08-10,0.001855,
ING002,Granulated Sugar,10,2026-08-17,0.001853,
ING002,Granulated Sugar,11,2026-08-24,0.001869,
ING002,Granulated Sugar,12,2026-08-31,0.001829,
ING003,Unsalted Butter,1,2026-06-15,0.0088,
ING003,Unsalted Butter,2,2026-06-22,0.008735,
ING003,Unsalted Butter,3,2026-06-29,0.008881,
ING003,Unsalted Butter,4,2026-07-06,0.009132,
ING003,Unsalted Butter,5,2026-07-13,0.009084,
ING003,Unsalted Butter,6,2026-07-20,0.009205,
ING003,Unsalted Butter,7,2026-07-27,0.009292,
ING003,Unsalted Butter,8,2026-08-03,0.009528,
ING003,Unsalted Butter,9,2026-08-10,0.009229,
ING003,Unsalted Butter,10,2026-08-17,0.009405,
ING003,Unsalted Butter,11,2026-08-24,0.008996,
ING003,Unsalted Butter,12,2026-08-31,0.008307,
ING004,Large Eggs,1,2026-06-15,0.3,
ING004,Large Eggs,2,2026-06-22,0.295138,
ING004,Large Eggs,3,2026-06-29,0.28762,
ING004,Large Eggs,4,2026-07-06,0.295754,
ING004,Large Eggs,5,2026-07-13,0.302239,
ING004,Large Eggs,6,2026-07-20,0.29179,
ING004,Large Eggs,7,2026-07-27,0.299791,
ING004,Large Eggs,8,2026-08-03,0.291377,
ING004,Large Eggs,9,2026-08-10,0.291206,
ING004,Large Eggs,10,2026-08-17,0.289221,
ING004,Large Eggs,11,2026-08-24,0.290792,
ING004,Large Eggs,12,2026-08-31,0.298515,
ING005,Chocolate Chips,1,2026-06-15,0.012,
ING005,Chocolate Chips,2,2026-06-22,0.012121,
ING005,Chocolate Chips,3,2026-06-29,0.012191,
ING005,Chocolate Chips,4,2026-07-06,0.012316,
ING005,Chocolate Chips,5,2026-07-13,0.01241,
ING005,Chocolate Chips,6,2026-07-20,0.0123,
ING005,Chocolate Chips,7,2026-07-27,0.012173,
ING005,Chocolate Chips,8,2026-08-03,0.012094,
ING005,Chocolate Chips,9,2026-08-10,0.01219,
ING005,Chocolate Chips,10,2026-08-17,0.012151,
ING005,Chocolate Chips,11,2026-08-24,0.012582,
ING005,Chocolate Chips,12,2026-08-31,0.012434,
ING006,Brown Sugar,1,2026-06-15,0.002,
ING006,Brown Sugar,2,2026-06-22,0.001968,
ING006,Brown Sugar,3,2026-06-29,0.001992,
ING006,Brown Sugar,4,2026-07-06,0.002035,
ING006,Brown Sugar,5,2026-07-13,0.002052,
ING006,Brown Sugar,6,2026-07-20,0.002078,
ING006,Brown Sugar,7,2026-07-27,0.002124,
ING006,Brown Sugar,8,2026-08-03,0.002122,
ING006,Brown Sugar,9,2026-08-10,0.002078,
ING006,Brown Sugar,10,2026-08-17,0.002062,
ING006,Brown Sugar,11,2026-08-24,0.002093,
ING006,Brown Sugar,12,2026-08-31,0.002048,
ING007,Vanilla Extract,1,2026-06-15,0.08,
ING007,Vanilla Extract,2,2026-06-22,0.08008,
ING007,Vanilla Extract,3,2026-06-29,0.080424,
ING007,Vanilla Extract,4,2026-07-06,0.080084,
ING007,Vanilla Extract,5,2026-07-13,0.080993,
ING007,Vanilla Extract,6,2026-07-20,0.081739,
ING007,Vanilla Extract,7,2026-07-27,0.084626,
ING007,Vanilla Extract,8,2026-08-03,0.085456,
ING007,Vanilla Extract,9,2026-08-10,0.084717,
ING007,Vanilla Extract,10,2026-08-17,0.084046,
ING007,Vanilla Extract,11,2026-08-24,0.083039,
ING007,Vanilla Extract,12,2026-08-31,0.084267,
ING008,Baking Soda,1,2026-06-15,0.002,
ING008,Baking Soda,2,2026-06-22,0.001984,
ING008,Baking Soda,3,2026-06-29,0.001983,
ING008,Baking Soda,4,2026-07-06,0.002006,
ING008,Baking Soda,5,2026-07-13,0.001985,
ING008,Baking Soda,6,2026-07-20,0.001978,
ING008,Baking Soda,7,2026-07-27,0.001924,
ING008,Baking Soda,8,2026-08-03,0.001894,
ING008,Baking Soda,9,2026-08-10,0.001879,
ING008,Baking Soda,10,2026-08-17,0.001891,
ING008,Baking Soda,11,2026-08-24,0.001926,
ING008,Baking Soda,12,2026-08-31,0.001926,
ING009,Salt,1,2026-06-15,0.001,
ING009,Salt,2,2026-06-22,0.001004,
ING009,Salt,3,2026-06-29,0.001007,
ING009,Salt,4,2026-07-06,0.001024,
ING009,Salt,5,2026-07-13,0.001039,
ING009,Salt,6,2026-07-20,0.001043,
ING009,Salt,7,2026-07-27,0.001028,
ING009,Salt,8,2026-08-03,0.001043,
ING009,Salt,9,2026-08-10,0.001049,
ING009,Salt,10,2026-08-17,0.001069,
ING009,Salt,11,2026-08-24,0.001069,
ING009,Salt,12,2026-08-31,0.001101,
ING010,Lemons,1,2026-06-15,0.6,
ING010,Lemons,2,2026-06-22,0.57708,
ING010,Lemons,3,2026-06-29,0.63224,
ING010,Lemons,4,2026-07-06,0.647144,
ING010,Lemons,5,2026-07-13,0.64867,
ING010,Lemons,6,2026-07-20,0.572317,
ING010,Lemons,7,2026-07-27,0.548053,
ING010,Lemons,8,2026-08-03,0.585722,
ING010,Lemons,9,2026-08-10,0.614413,
ING010,Lemons,10,2026-08-17,0.650048,
ING010,Lemons,11,2026-08-24,0.579051,
ING010,Lemons,12,2026-08-31,0.574799,
ING011,Powdered Sugar,1,2026-06-15,0.003,
ING011,Powdered Sugar,2,2026-06-22,0.003027,
ING011,Powdered Sugar,3,2026-06-29,0.003003,
ING011,Powdered Sugar,4,2026-07-06,0.002976,
ING011,Powdered Sugar,5,2026-07-13,0.002978,
ING011,Powdered Sugar,6,2026-07-20,0.003056,
ING011,Powdered Sugar,7,2026-07-27,0.003009,
ING011,Powdered Sugar,8,2026-08-03,0.002992,
ING011,Powdered Sugar,9,2026-08-10,0.003054,
ING011,Powdered Sugar,10,2026-08-17,0.003035,
ING011,Powdered Sugar,11,2026-08-24,0.00302,
ING011,Powdered Sugar,12,2026-08-31,0.003026,
ING012,Cocoa Powder,1,2026-06-15,0.012,
ING012,Cocoa Powder,2,2026-06-22,0.011783,
ING012,Cocoa Powder,3,2026-06-29,0.011827,
ING012,Cocoa Powder,4,2026-07-06,0.011619,
ING012,Cocoa Powder,5,2026-07-13,0.011779,
ING012,Cocoa Powder,6,2026-07-20,0.011785,
ING012,Cocoa Powder,7,2026-07-27,0.012195,
ING012,Cocoa Powder,8,2026-08-03,0.012252,
ING012,Cocoa Powder,9,2026-08-10,0.012509,
ING012,Cocoa Powder,10,2026-08-17,0.012271,
ING012,Cocoa Powder,11,2026-08-24,0.012255,
ING012,Cocoa Powder,12,2026-08-31,0.01232,
ING013,Bananas,1,2026-06-15,0.25,
ING013,Bananas,2,2026-06-22,0.272019,
ING013,Bananas,3,2026-06-29,0.244585,
ING013,Bananas,4,2026-07-06,0.263199,
ING013,Bananas,5,2026-07-13,0.28131,
ING013,Bananas,6,2026-07-20,0.293129,
ING013,Bananas,7,2026-07-27,0.295887,
ING013,Bananas,8,2026-08-03,0.29188,
ING013,Bananas,9,2026-08-10,0.282745,
ING013,Bananas,10,2026-08-17,0.266282,
ING013,Bananas,11,2026-08-24,0.27828,
ING013,Bananas,12,2026-08-31,0.261166,
ING014,Milk,1,2026-06-15,0.0011,REAL DATA ALREADY LOADED
ING014,Milk,2,2026-06-22,0.001169,REAL DATA ALREADY LOADED
ING014,Milk,3,2026-06-29,0.00115,REAL DATA ALREADY LOADED
ING014,Milk,4,2026-07-06,0.001163,REAL DATA ALREADY LOADED
ING014,Milk,5,2026-07-13,0.001111,REAL DATA ALREADY LOADED
ING014,Milk,6,2026-07-20,0.0011,REAL DATA ALREADY LOADED
ING014,Milk,7,2026-07-27,0.001111,REAL DATA ALREADY LOADED
ING014,Milk,8,2026-08-03,0.00114,REAL DATA ALREADY LOADED
ING014,Milk,9,2026-08-10,0.001192,REAL DATA ALREADY LOADED
ING014,Milk,10,2026-08-17,0.001193,REAL DATA ALREADY LOADED
ING014,Milk,11,2026-08-24,0.001155,REAL DATA ALREADY LOADED
ING014,Milk,12,2026-08-31,0.001173,REAL DATA ALREADY LOADED
ING015,Espresso Beans,1,2026-06-15,0.025,REAL DATA ALREADY LOADED
ING015,Espresso Beans,2,2026-06-22,0.025206,REAL DATA ALREADY LOADED
ING015,Espresso Beans,3,2026-06-29,0.025405,REAL DATA ALREADY LOADED
ING015,Espresso Beans,4,2026-07-06,0.025151,REAL DATA ALREADY LOADED
ING015,Espresso Beans,5,2026-07-13,0.025591,REAL DATA ALREADY LOADED
ING015,Espresso Beans,6,2026-07-20,0.025637,REAL DATA ALREADY LOADED
ING015,Espresso Beans,7,2026-07-27,0.025919,REAL DATA ALREADY LOADED
ING015,Espresso Beans,8,2026-08-03,0.026428,REAL DATA ALREADY LOADED
ING015,Espresso Beans,9,2026-08-10,0.026682,REAL DATA ALREADY LOADED
ING015,Espresso Beans,10,2026-08-17,0.02681,REAL DATA ALREADY LOADED
ING015,Espresso Beans,11,2026-08-24,0.02769,REAL DATA ALREADY LOADED
ING015,Espresso Beans,12,2026-08-31,0.027805,REAL DATA ALREADY LOADED
ING016,Black Tea Bags,1,2026-06-15,0.1,
ING016,Black Tea Bags,2,2026-06-22,0.099606,
ING016,Black Tea Bags,3,2026-06-29,0.099823,
ING016,Black Tea Bags,4,2026-07-06,0.102093,
ING016,Black Tea Bags,5,2026-07-13,0.102326,
ING016,Black Tea Bags,6,2026-07-20,0.103174,
ING016,Black Tea Bags,7,2026-07-27,0.105077,
ING016,Black Tea Bags,8,2026-08-03,0.104321,
ING016,Black Tea Bags,9,2026-08-10,0.101671,
ING016,Black Tea Bags,10,2026-08-17,0.102179,
ING016,Black Tea Bags,11,2026-08-24,0.102582,
ING016,Black Tea Bags,12,2026-08-31,0.101698,
ING017,Blueberries,1,2026-06-15,0.008,REAL DATA ALREADY LOADED
ING017,Blueberries,2,2026-06-22,0.008285,REAL DATA ALREADY LOADED
ING017,Blueberries,3,2026-06-29,0.008587,REAL DATA ALREADY LOADED
