Recipe_ID,Ingredient_ID,Quantity_Used
REC001,ING001,280
REC001,ING002,150
REC001,ING006,150
REC001,ING003,225
REC001,ING004,2
REC001,ING007,5
REC001,ING008,5
REC001,ING009,3
REC001,ING005,300
REC002,ING001,250
REC002,ING011,200
REC002,ING003,225
REC002,ING004,4
REC002,ING002,300
REC002,ING010,4
REC002,ING009,2
REC003,ING001,150
REC003,ING002,300
REC003,ING003,225
REC003,ING004,4
REC003,ING012,80
REC003,ING007,5
REC003,ING009,2
REC003,ING005,100
REC004,ING001,250
REC004,ING002,150
REC004,ING003,115
REC004,ING004,2
REC004,ING013,3
REC004,ING008,5
REC004,ING009,2
REC005,ING001,300
REC005,ING002,200
REC005,ING003,225
REC005,ING004,1
REC005,ING007,5
REC005,ING018,5
REC005,ING009,2
REC006,ING015,18
REC006,ING014,200
REC007,ING015,18
REC007,ING014,120
REC008,ING016,1
REC008,ING020,350
REC008,ING021,100
REC009,ING001,300
REC009,ING002,200
REC009,ING003,115
REC009,ING004,2
REC009,ING014,180
REC009,ING018,8
REC009,ING009,3
REC009,ING017,200
REC010,ING019,5000
REC010,ING020,2000
REC010,ING009,30
