Ingredient_Name,Likelihood,Impact
Chicken Breast,0.181818181818182,0.994799909563645
Lemons,0.181818181818182,0.33003300330033
Blueberries,0.0909090909090909,0.358342665173572
Bananas,0.0909090909090909,0.234815278647464
Espresso Beans,0.0,0.722418833666718
Black Tea Bags,0.0,0.645161290322581
Chocolate Chips,0.0,0.322136311428997
Unsalted Butter,0.0,0.316955345049786
Milk,0.0,0.199835745827265
Cocoa Powder,0.0,0.14519056261343
Large Eggs,0.0,0.137744665141382
Ice,0.0,0.129032258064516
All-Purpose Flour,0,0.117011269188755
Water,0.0,0.115164134691824
Powdered Sugar,0.0,0.0825082508250825
Granulated Sugar,0.0,0.0754197901714673
Vanilla Extract,0.0,0.0731285538180929
Brown Sugar,0.0,0.0385653682992673
Baking Powder,0.0,0.00627015421756055
Baking Soda,0.0,0.00220819132930421
Salt,0.0,0.000496692325270165
